gn,opt_fit,min_1,max_1,ave_1,std_1,min_2,max_2,ave_2,std_2
0,119.0,119.0,inf,inf,,0.0,inf,inf,
1,87.0,87.0,302.0,173.8984375,35.71060763356728,0.0,0.0,0.0,0.0
2,87.0,87.0,262.0,145.5078125,26.10465598250327,0.0,0.0,0.0,0.0
3,56.0,56.0,inf,inf,,0.0,inf,inf,
4,56.0,56.0,182.0,113.6796875,21.49088963729384,0.0,0.0,0.0,0.0
5,56.0,56.0,177.0,98.2578125,19.065367035933082,0.0,5.0,0.0390625,0.4402120183431502
6,50.0,50.0,126.0,85.2578125,15.12099435271516,0.0,0.0,0.0,0.0
7,50.0,50.0,195.0,74.7421875,19.11447671831075,0.0,5.0,0.0625,0.5115845482420281
8,47.0,47.0,131.0,64.765625,13.507222821859976,0.0,6.0,0.0703125,0.588743282206897
9,45.0,45.0,132.0,56.8984375,9.340636892556832,0.0,6.0,0.1015625,0.6828232264603702
10,45.0,45.0,89.0,52.2890625,5.773257777987551,0.0,4.0,0.03125,0.3521696146745201
11,45.0,45.0,inf,inf,,0.0,inf,inf,
12,45.0,45.0,183.0,49.765625,15.705037197007048,0.0,5.0,0.0390625,0.4402120183431502
13,45.0,45.0,126.0,47.3828125,9.508319624930778,0.0,0.0,0.0,0.0
14,45.0,45.0,124.0,47.0859375,10.220252063725912,0.0,0.0,0.0,0.0
15,45.0,45.0,173.0,48.015625,14.048456529433224,0.0,0.0,0.0,0.0
16,45.0,45.0,126.0,47.109375,10.260843635363274,0.0,0.0,0.0,0.0
17,45.0,45.0,167.0,48.40625,14.895698571651481,0.0,0.0,0.0,0.0
18,45.0,45.0,133.0,46.734375,9.285812746301477,0.0,0.0,0.0,0.0
19,45.0,45.0,106.0,46.46875,7.065472272785451,0.0,0.0,0.0,0.0
20,45.0,45.0,201.0,47.625,15.77527733512156,0.0,0.0,0.0,0.0
21,45.0,45.0,55.0,45.2265625,1.2575698523715293,0.0,0.0,0.0,0.0
22,45.0,45.0,152.0,47.109375,11.639261665130439,0.0,0.0,0.0,0.0
23,45.0,45.0,113.0,46.7734375,9.147416680877381,0.0,0.0,0.0,0.0
24,45.0,45.0,136.0,47.96875,13.020379158745724,0.0,0.0,0.0,0.0
25,45.0,45.0,105.0,46.328125,8.291665030883424,0.0,0.0,0.0,0.0
26,45.0,45.0,125.0,47.3828125,11.97727085315531,0.0,0.0,0.0,0.0
27,45.0,45.0,118.0,46.578125,8.336299927688243,0.0,0.0,0.0,0.0
28,45.0,45.0,112.0,46.3046875,8.493157718266142,0.0,0.0,0.0,0.0
29,45.0,45.0,170.0,48.3671875,15.065933785857542,0.0,4.0,0.03125,0.3521696146745201
30,45.0,45.0,153.0,49.25,18.012582407861455,0.0,0.0,0.0,0.0
31,45.0,45.0,83.0,45.6796875,4.374881415803604,0.0,0.0,0.0,0.0
32,45.0,45.0,152.0,48.21875,14.84710488403379,0.0,0.0,0.0,0.0
33,45.0,45.0,120.0,47.2109375,10.488574396508506,0.0,0.0,0.0,0.0
34,45.0,45.0,162.0,47.90625,14.456528315522368,0.0,0.0,0.0,0.0
35,45.0,45.0,204.0,49.828125,20.4531130634037,0.0,0.0,0.0,0.0
36,44.0,44.0,117.0,46.9296875,10.077189273420627,0.0,0.0,0.0,0.0
37,44.0,44.0,132.0,47.7890625,12.521638985016848,0.0,0.0,0.0,0.0
38,44.0,44.0,180.0,47.0625,13.76859538043006,0.0,0.0,0.0,0.0
39,44.0,44.0,125.0,45.8125,7.895558482463416,0.0,0.0,0.0,0.0
40,37.0,37.0,212.0,46.5234375,15.491915655708747,0.0,0.0,0.0,0.0
41,44.0,44.0,182.0,45.6875,12.647720891528245,0.0,0.0,0.0,0.0
42,44.0,44.0,105.0,47.2578125,10.926062658379905,0.0,0.0,0.0,0.0
43,44.0,44.0,120.0,47.84375,13.247309573551151,0.0,0.0,0.0,0.0
44,44.0,44.0,129.0,45.5,9.630680142129112,0.0,0.0,0.0,0.0
45,44.0,44.0,155.0,46.7265625,13.883282912682928,0.0,0.0,0.0,0.0
46,44.0,44.0,106.0,45.609375,8.55061618302301,0.0,0.0,0.0,0.0
47,44.0,44.0,138.0,47.6796875,15.013501004174335,0.0,0.0,0.0,0.0
48,44.0,44.0,113.0,45.515625,8.410358545233075,0.0,0.0,0.0,0.0
49,44.0,44.0,107.0,45.578125,9.22175533639746,0.0,0.0,0.0,0.0
